YEAR,COUNTRY,EVENT_TYPE,SUB_EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENTS,FATALITIES
2014,Yemen,Battles,Armed clash,"14,326","45,216",1,0
2014,Yemen,Battles,Armed clash,"15,3329","45,4523",2,18
2014,Yemen,Explosions/Remote violence,Remote explosive/landmine/IED,"13,6274","46,228",1,0
2014,Yemen,Explosions/Remote violence,Remote explosive/landmine/IED,"14,326","45,216",2,4
2014,Yemen,Explosions/Remote violence,Remote explosive/landmine/IED,"16,5288","48,6269",2,4
2014,Yemen,Explosions/Remote violence,Shelling/artillery/missile attack,"14,651","46,62",1,0
2014,Yemen,Riots,Violent demonstration,"12,8058","44,788",1,0
2014,Yemen,Riots,Violent demonstration,"15,4201","44,1919",1,0
2014,Yemen,Violence against civilians,Abduction/forced disappearance,"15,4201","44,1919",2,0
2014,Yemen,Violence against civilians,Attack,"12,8058","44,788",1,1
2014,Yemen,Violence against civilians,Attack,"13,8943","44,7825",1,0
2015,Bahrain,Protests,Excessive force against protesters,"26,1468","50,4809",2,0
2015,Bahrain,Protests,Peaceful protest,"26,1468","50,4809",2,0
2015,Bahrain,Protests,Peaceful protest,"26,1927","50,5508",3,0
2015,Bahrain,Protests,Peaceful protest,"26,2547","50,6428",1,0
2015,Bahrain,Riots,Violent demonstration,"26,1468","50,4809",1,0
2015,Bahrain,Riots,Violent demonstration,"26,1927","50,5508",3,0
2015,Iran,Protests,Peaceful protest,"32,6094","52,0477",1,0
2015,Iran,Protests,Peaceful protest,"35,5022","51,3269",1,0
2015,Iraq,Battles,Armed clash,"33,1774","41,3987",1,7
2015,Iraq,Battles,Armed clash,"34,0711","44,8903",2,2
2015,Iraq,Battles,Armed clash,"34,6687","43,6316",1,17
2015,Iraq,Battles,Armed clash,"35,9879","42,3496",1,0
2015,Iraq,Battles,Government regains territory,"33,1774","41,3987",2,20
2015,Iraq,Battles,Non-state actor overtakes territory,"33,1774","41,3987",1,0
2015,Iraq,Explosions/Remote violence,Air/drone strike,"33,1774","41,3987",3,0
2015,Iraq,Explosions/Remote violence,Air/drone strike,"35,9879","42,3496",4,0
2015,Iraq,Explosions/Remote violence,Remote explosive/landmine/IED,"33,1774","41,3987",1,60
2015,Iraq,Explosions/Remote violence,Remote explosive/landmine/IED,"33,278","44,3783",4,7
2015,Iraq,Explosions/Remote violence,Shelling/artillery/missile attack,"33,1774","41,3987",1,10
2015,Iraq,Strategic developments,Arrests,"33,1774","41,3987",1,0
2015,Iraq,Violence against civilians,Abduction/forced disappearance,"33,1774","41,3987",1,0
2015,Israel,Explosions/Remote violence,Shelling/artillery/missile attack,"30,6783","34,8831",1,0
2015,Israel,Protests,Peaceful protest,"32,6278","34,9819",1,0
2015,Israel,Violence against civilians,Attack,"32,0984","34,8103",1,2
2015,Lebanon,Explosions/Remote violence,Grenade,"34,5499","36,1901",1,0
2015,Lebanon,Explosions/Remote violence,Shelling/artillery/missile attack,"33,2832","35,4971",1,0
2015,Palestine,Riots,Mob violence,"31,9475","35,267",1,0
2015,Palestine,Strategic developments,Other,"31,9475","35,267",1,0
2015,Saudi Arabia,Battles,Armed clash,"17,353","42,7999",25,209
2015,Saudi Arabia,Battles,Armed clash,"18,2376","45,6117",4,15
2015,Saudi Arabia,Battles,Armed clash,"19,2036","42,9532",2,18
2015,Saudi Arabia,Battles,Armed clash,"23,1567","50,3153",3,3
2015,Saudi Arabia,Battles,Armed clash,"23,4556","45,232",2,2
2015,Saudi Arabia,Battles,Armed clash,"29,8425","42,6838",1,7
2015,Saudi Arabia,Battles,Non-state actor overtakes territory,"17,353","42,7999",24,132
2015,Saudi Arabia,Battles,Non-state actor overtakes territory,"18,2376","45,6117",7,67
2015,Saudi Arabia,Explosions/Remote violence,Shelling/artillery/missile attack,"17,353","42,7999",225,292
2015,Saudi Arabia,Explosions/Remote violence,Shelling/artillery/missile attack,"18,2376","45,6117",73,38
2015,Saudi Arabia,Explosions/Remote violence,Shelling/artillery/missile attack,"19,2036","42,9532",58,42
2015,Saudi Arabia,Explosions/Remote violence,Shelling/artillery/missile attack,"23,4556","45,232",1,0
