COUNTRY,YEAR,EVENTS
Afghanistan,2017,12582
Afghanistan,2018,13664
Afghanistan,2019,13612
Afghanistan,2020,9758
Afghanistan,2021,9122
Afghanistan,2022,2547
Afghanistan,2023,1035
Afghanistan,2024,1095
Afghanistan,2025,662
Algeria,1997,141
Algeria,1998,47
Algeria,1999,63
Algeria,2000,168
Algeria,2001,155
Algeria,2002,210
Algeria,2003,158
Algeria,2004,96
Algeria,2005,78
Algeria,2006,179
Algeria,2007,302
Algeria,2008,196
Algeria,2009,186
Algeria,2010,107
Algeria,2011,158
Algeria,2012,125
Algeria,2013,138
Algeria,2014,126
Algeria,2015,78
Algeria,2016,67
Algeria,2017,115
Algeria,2018,60
Algeria,2019,13
Algeria,2020,35
Algeria,2021,20
Algeria,2022,22
Algeria,2023,17
Algeria,2024,17
Algeria,2025,21
Bahrain,2016,16
Bahrain,2017,30
Bahrain,2018,7
Bahrain,2019,5
Bahrain,2020,7
Bahrain,2021,20
Bahrain,2022,9
Bahrain,2023,4
Bahrain,2024,11
Bahrain,2025,9
Djibouti,1997,1
Djibouti,1998,2
Djibouti,1999,3
Djibouti,2000,1
Djibouti,2001,0
Djibouti,2002,1
Djibouti,2003,0
Djibouti,2004,1
Djibouti,2005,0
Djibouti,2006,2
Djibouti,2007,1
Djibouti,2008,2
Djibouti,2009,6
Djibouti,2010,8
Djibouti,2011,2
Djibouti,2012,2
Djibouti,2013,4
Djibouti,2014,17
Djibouti,2015,6
Djibouti,2016,5
Djibouti,2017,3
Djibouti,2018,0
Djibouti,2019,9
Djibouti,2020,6
Djibouti,2021,12
Djibouti,2022,4
Djibouti,2023,9
Djibouti,2024,2
Egypt,1997,32
Egypt,1998,10
Egypt,1999,5
Egypt,2000,25
Egypt,2001,6
Egypt,2002,5
Egypt,2003,0
Egypt,2004,1
Egypt,2005,14
Egypt,2006,2
Egypt,2007,2
Egypt,2008,38
Egypt,2009,26
Egypt,2010,56
Egypt,2011,227
Egypt,2012,126
Egypt,2013,822
Egypt,2014,728
Egypt,2015,830
Egypt,2016,471
Egypt,2017,435
Egypt,2018,386
Egypt,2019,537
Egypt,2020,515
Egypt,2021,266
Egypt,2022,194
Egypt,2023,23
Egypt,2024,29
Egypt,2025,38
Iran,2016,98
Iran,2017,92
Iran,2018,134
Iran,2019,90
Iran,2020,208
Iran,2021,206
Iran,2022,302
Iran,2023,204
Iran,2024,162
Iran,2025,516
Iraq,2016,9761
Iraq,2017,4873
Iraq,2018,2934
Iraq,2019,2318
Iraq,2020,3450
Iraq,2021,4946
Iraq,2022,5943
Iraq,2023,4860
Iraq,2024,6972
Iraq,2025,2430
Israel,2016,47
Israel,2017,73
Israel,2018,302
Israel,2019,250
Israel,2020,191
Israel,2021,314
Israel,2022,133
Israel,2023,1197
Israel,2024,3507
Israel,2025,187
Jordan,2016,19
Jordan,2017,18
Jordan,2018,95
Jordan,2019,56
Jordan,2020,49
Jordan,2021,28
Jordan,2022,36
Jordan,2023,24
Jordan,2024,8
Jordan,2025,7
Kuwait,2016,2
Kuwait,2017,0
Kuwait,2018,0
Kuwait,2019,0
Kuwait,2020,2
Kuwait,2021,0
Lebanon,2016,367
Lebanon,2017,242
Lebanon,2018,124
Lebanon,2019,114
Lebanon,2020,189
Lebanon,2021,254
Lebanon,2022,261
Lebanon,2023,2206
Lebanon,2024,13424
Lebanon,2025,1603
Libya,1997,2
Libya,1998,5
Libya,1999,0
Libya,2000,4
Libya,2001,0
Libya,2002,3
Libya,2003,2
Libya,2004,5
Libya,2005,2
Libya,2006,0
Libya,2007,1
Libya,2008,3
Libya,2009,2
Libya,2010,4
Libya,2011,612
Libya,2012,172
Libya,2013,366
Libya,2014,1333
Libya,2015,1151
Libya,2016,1011
Libya,2017,801
Libya,2018,599
Libya,2019,1253
Libya,2020,1155
Libya,2021,107
Libya,2022,118
Libya,2023,75
Libya,2024,227
Libya,2025,299
Malta,2020,6
Malta,2021,2
Malta,2022,1
Malta,2023,2
Malta,2025,2
Morocco,1997,7
Morocco,1998,5
Morocco,1999,1
Morocco,2000,4
